Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
6.3,150,1.945,580,5,11,-40,105,0.22,4000,2300,9,6000,UHE0J151MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,Normal,0.44
6.3,330,0.884,220,6.3,11,-40,105,0.22,4000,870,21,4000,UHE0J331MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,EOL,Normal,0.59
6.3,680,0.429,130,8,11.5,-40,105,0.22,6000,520,43,3000,UHE0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,MP,Normal,1.19
6.3,820,0.356,80,10,12.5,-40,105,0.22,6000,320,52,2000,UHE0J821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,MP,Normal,1.49
6.3,1000,0.292,87,8,15,-40,105,0.22,6000,350,63,2000,UHE0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,MP,Normal,1.36
6.3,1200,0.243,69,8,20,-40,105,0.22,6000,270,76,2000,UHE0J122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,MP,Normal,1.66
6.3,1200,0.243,60,10,16,-40,105,0.22,6000,240,76,1800,UHE0J122MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,MP,Normal,1.77
6.3,1500,0.195,46,10,20,-40,105,0.22,6000,180,95,1400,UHE0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,MP,Normal,2.34
6.3,1800,0.162,49,12.5,15,-40,105,0.22,8000,160,113,1200,UHE0J182MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,MP,Normal,2.96
6.3,2200,0.145,42,10,25,-40,105,0.24,6000,170,139,1200,UHE0J222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,MP,Normal,3.07
6.3,2700,0.118,31,10,30.5,-40,105,0.24,6000,120,170,1000,UHE0J272MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,MP,Normal,3.21
6.3,2700,0.118,42,16,15,-40,105,0.24,8000,120,170,700,UHE0J272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,MP,Normal,4.74
6.3,3300,0.104,35,12.5,20,-40,105,0.26,8000,120,208,1000,UHE0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,MP,Normal,3.43
6.3,3900,0.088,27,12.5,25,-40,105,0.26,8000,89,246,800,UHE0J392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,MP,Normal,4.56
6.3,3900,0.088,43,18,15,-40,105,0.26,8000,110,246,400,UHE0J392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,MP,Normal,6.31
6.3,4700,0.079,24,12.5,30.5,-40,105,0.28,8000,78,296,600,UHE0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,MP,Normal,6.01
6.3,5600,0.071,20,12.5,35.5,-40,105,0.3,8000,65,353,500,UHE0J562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2880,MP,Normal,7.06
6.3,5600,0.071,27,16,20,-40,105,0.3,8000,78,353,600,UHE0J562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2530,MP,Normal,6.6
6.3,6800,0.062,17,12.5,40,-40,105,0.32,8000,56,428,400,UHE0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3350,MP,Normal,7.57
6.3,6800,0.062,21,16,25,-40,105,0.32,8000,60,428,400,UHE0J682MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2930,MP,Normal,8.2
6.3,6800,0.062,26,18,20,-40,105,0.32,8000,67,428,400,UHE0J682MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2860,MP,Normal,9.0
6.3,8200,0.058,17,16,30.5,-40,105,0.36,8000,50,517,300,UHE0J822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3450,MP,Normal,9.6
6.3,10000,0.053,15,16,35.5,-40,105,0.4,8000,44,630,300,UHE0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3610,MP,Normal,11.8
6.3,10000,0.053,19,18,25,-40,105,0.4,8000,49,630,300,UHE0J103MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3140,MP,Normal,10.6
6.3,12000,0.049,13,16,40,-40,105,0.44,8000,38,756,300,UHE0J123MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4080,MP,Normal,14.1
6.3,12000,0.049,15,18,30.5,-40,105,0.44,8000,40,756,300,UHE0J123MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4170,MP,Normal,13.1
6.3,15000,0.044,14,18,35.5,-40,105,0.5,8000,38,945,250,UHE0J153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4220,MP,Normal,14.2
6.3,18000,0.041,12,18,40,-40,105,0.56,8000,32,1134,200,UHE0J183MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4280,MP,Normal,17.7
10,100,2.52,580,5,11,-40,105,0.19,4000,2300,10,6000,UHE1A101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,EOL,Normal,0.44
10,220,1.145,220,6.3,11,-40,105,0.19,4000,870,22,4000,UHE1A221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,EOL,Normal,0.59
10,470,0.536,130,8,11.5,-40,105,0.19,6000,520,47,3000,UHE1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,MP,Normal,1.19
10,680,0.371,87,8,15,-40,105,0.19,6000,350,68,2000,UHE1A681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,MP,Normal,1.36
10,680,0.371,80,10,12.5,-40,105,0.19,6000,320,68,2000,UHE1A681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,MP,Normal,1.49
10,1000,0.252,69,8,20,-40,105,0.19,6000,270,100,2000,UHE1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,MP,Normal,1.66
10,1000,0.252,60,10,16,-40,105,0.19,6000,240,100,1800,UHE1A102MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,MP,Normal,1.77
10,1200,0.21,46,10,20,-40,105,0.19,6000,180,120,1400,UHE1A122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,MP,Normal,2.34
10,1500,0.168,42,10,25,-40,105,0.19,6000,170,150,1200,UHE1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,MP,Normal,3.07
10,1500,0.168,49,12.5,15,-40,105,0.19,8000,160,150,1200,UHE1A152MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,MP,Normal,2.96
10,2200,0.127,31,10,30.5,-40,105,0.21,6000,120,220,1000,UHE1A222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,MP,Normal,3.21
10,2200,0.127,35,12.5,20,-40,105,0.21,8000,120,220,1000,UHE1A222MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,MP,Normal,3.43
10,2200,0.127,42,16,15,-40,105,0.21,8000,120,220,700,UHE1A222MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,MP,Normal,4.74
10,2700,0.103,43,18,15,-40,105,0.21,8000,110,270,400,UHE1A272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,MP,Normal,6.31
10,3300,0.092,27,12.5,25,-40,105,0.23,8000,89,330,800,UHE1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,MP,Normal,4.56
10,3900,0.078,24,12.5,30.5,-40,105,0.23,8000,78,390,600,UHE1A392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,MP,Normal,6.01
