Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Part Number,Ripple Current 85°C@120Hz,VC
6.3,4700,0.127,0.127,16,15,0.37,0.127,,,,,,,ESRG6R3E□□472ML15S,1410,29610.0
6.3,6800,0.107,0.107,18,15,0.43,0.107,,,,,,,ESRG6R3E□□682MM15S,1660,42840.0
6.3,10000,0.099,0.099,18,20,0.55,0.099,,,,,,,ESRG6R3E□□103MM20S,2020,63000.0
10,1000,0.176,0.153,10,12.5,0.24,0.345,1.5,1.4,1.0,1.3,1.15,0.8,ESRG100E□□102MJC5S,625,10000.0
10,2200,0.16,0.16,12.5,15,0.27,0.187,1.08,1.08,1.0,1.05,1.03,0.85,ESRG100E□□222MK15S,970,22000.0
10,3300,0.145,0.145,16,15,0.3,0.145,,,,,,,ESRG100E□□332ML15S,1310,33000.0
10,4700,0.116,0.116,18,15,0.33,0.116,,,,,,,ESRG100E□□472MM15S,1560,47000.0
10,6800,0.099,0.099,18,20,0.39,0.099,,,,,,,ESRG100E□□682MM20S,1870,68000.0
10,10000,0.094,0.094,18,25,0.51,0.094,,,,,,,ESRG100E□□103MM25S,2370,100000.0
16,1000,0.149,0.13,12.5,13,0.2,0.292,1.5,1.4,1.0,1.3,1.15,0.8,ESRG160E□□102MK13S,715,16000.0
16,2200,0.14,0.14,16,15,0.23,0.163,1.08,1.08,1.0,1.05,1.03,0.85,ESRG160E□□222ML15S,1160,35200.0
16,3300,0.129,0.129,18,15,0.26,0.129,,,,,,,ESRG160E□□332MM15S,1460,52800.0
16,4700,0.104,0.104,18,20,0.29,0.104,,,,,,,ESRG160E□□472MM20S,1770,75200.0
16,6800,0.092,0.092,18,25,0.35,0.092,,,,,,,ESRG160E□□682MM25S,2170,108800.0
25,470,0.23,0.201,10,12.5,0.16,0.452,1.5,1.4,1.0,1.3,1.15,0.8,ESRG250E□□471MJC5S,525,11750.0
25,1000,0.122,0.106,12.5,15,0.16,0.239,1.5,1.4,1.0,1.3,1.15,0.8,ESRG250E□□102MK15S,830,25000.0
25,2200,0.119,0.119,18,15,0.19,0.139,1.08,1.08,1.0,1.05,1.03,0.85,ESRG250E□□222MM15S,1360,55000.0
25,3300,0.113,0.113,18,20,0.22,0.113,,,,,,,ESRG250E□□332MM20S,1720,82500.0
25,4700,0.093,0.093,18,25,0.25,0.093,,,,,,,ESRG250E□□472MM25S,2070,117500.0
35,330,0.287,0.25,10,12.5,0.14,0.563,1.5,1.4,1.0,1.3,1.15,0.8,ESRG350E□□331MJC5S,475,11550.0
35,470,0.202,0.176,12.5,13,0.14,0.395,1.5,1.4,1.0,1.3,1.15,0.8,ESRG350E□□471MK13S,585,16450.0
35,1000,0.108,0.094,16,15,0.14,0.212,1.5,1.4,1.0,1.3,1.15,0.8,ESRG350E□□102ML15S,1010,35000.0
35,2200,0.109,0.109,18,20,0.17,0.127,1.08,1.08,1.0,1.05,1.03,0.85,ESRG350E□□222MM20S,1560,77000.0
50,220,0.369,0.322,10,12.5,0.12,0.723,1.5,1.4,1.0,1.3,1.15,0.8,ESRG500E□□221MJC5S,415,11000.0
50,330,0.246,0.214,12.5,13,0.12,0.482,1.5,1.4,1.0,1.3,1.15,0.8,ESRG500E□□331MK13S,525,16500.0
50,470,0.173,0.151,16,15,0.12,0.339,1.5,1.4,1.0,1.3,1.15,0.8,ESRG500E□□471ML15S,745,23500.0
50,1000,0.095,0.083,18,20,0.12,0.186,1.5,1.4,1.0,1.3,1.15,0.8,ESRG500E□□102MM20S,1160,50000.0
