Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 135°C@100kHz,Ripple Current 135°C@10kHz,Ripple Current 135°C@120Hz,Ripple Current 135°C@1kHz,Ripple Current 135°C@50Hz,Ripple Current 135°C@60Hz,Size Code,VC
10,220,0.508,0.508,,,,0.2,1.206,,,,,,,,2200
10,330,0.339,0.339,0.098,10,12.5,0.2,0.804,725,725,470.78,616.72,400.16,400.16,F12,3300
10,470,0.319,0.319,0.098,10,12.5,0.2,0.564,725,725,545.11,654.14,506.95,506.95,F12,4700
10,1000,0.165,0.165,0.057,10,20,0.2,0.292,1130,1130,849.62,1019.55,790.15,790.15,F20,10000
10,1000,0.165,0.165,0.059,12.5,15,0.2,0.292,1130,1130,849.62,1019.55,790.15,790.15,G15,10000
10,2200,0.104,0.104,0.032,12.5,25,0.2,0.145,1880,1880,1593.22,1784.41,1497.63,1497.63,G25,22000
10,2200,0.104,0.104,0.032,16,20,0.2,0.145,2020,2020,1711.86,1917.29,1609.15,1609.15,J20,22000
10,3300,0.075,0.075,0.024,16,25,0.2,0.104,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,33000
10,3300,0.075,0.075,0.029,18,20,0.2,0.104,2320,2320,1966.1,2202.03,1848.14,1848.14,K20,33000
10,4700,0.057,0.057,0.020,16,31.5,0.2,0.079,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,47000
10,4700,0.057,0.057,0.022,18,25,0.2,0.079,2880,2880,2440.68,2733.56,2294.24,2294.24,K25,47000
16,220,0.407,0.407,0.098,10,12.5,0.16,0.965,725,725,470.78,616.72,400.16,400.16,F12,3520
16,330,0.271,0.271,0.098,10,12.5,0.16,0.643,725,725,470.78,616.72,400.16,400.16,F12,5280
16,470,0.255,0.255,0.075,10,16,0.16,0.452,951,951,715.04,858.05,664.98,664.98,F16,7520
16,1000,0.135,0.135,0.057,10,20,0.16,0.239,1130,1130,849.62,1019.55,790.15,790.15,F20,16000
16,1000,0.135,0.135,0.040,12.5,20,0.16,0.239,1550,1550,1165.41,1398.5,1083.83,1083.83,G20,16000
16,2200,0.087,0.087,0.032,12.5,25,0.16,0.121,1880,1880,1593.22,1784.41,1497.63,1497.63,G25,35200
16,2200,0.087,0.087,0.024,16,25,0.16,0.121,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,35200
16,3300,0.064,0.064,0.020,16,31.5,0.16,0.088,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,52800
16,3300,0.064,0.064,0.022,18,25,0.16,0.088,2880,2880,2440.68,2733.56,2294.24,2294.24,K25,52800
16,4700,0.049,0.049,0.019,16,35.5,0.16,0.068,3280,3280,2779.66,3113.22,2612.88,2612.88,J35,75200
16,4700,0.049,0.049,0.018,18,31.5,0.16,0.068,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,75200
25,220,0.356,0.356,0.098,10,12.5,0.14,0.844,725,725,470.78,616.72,400.16,400.16,F12,5500
25,330,0.237,0.237,0.098,10,12.5,0.14,0.563,725,725,470.78,616.72,400.16,400.16,F12,8250
25,330,0.237,0.237,0.075,10,16,0.14,0.563,951,951,617.53,808.97,524.9,524.9,F16,8250
25,470,0.223,0.223,0.075,10,16,0.14,0.395,951,951,715.04,858.05,664.98,664.98,F16,11750
25,470,0.223,0.223,0.057,10,20,0.14,0.395,1130,1130,849.62,1019.55,790.15,790.15,F20,11750
25,1000,0.12,0.12,0.040,12.5,20,0.14,0.212,1550,1550,1165.41,1398.5,1083.83,1083.83,G20,25000
25,1000,0.12,0.12,0.032,12.5,25,0.14,0.212,1880,1880,1413.53,1696.24,1314.59,1314.59,G25,25000
25,1200,0.127,0.127,0.040,12.5,20,0.14,0.177,1550,1550,1313.56,1471.19,1234.75,1234.75,G20,30000
25,1800,0.085,0.085,0.032,12.5,25,0.14,0.118,1880,1880,1593.22,1784.41,1497.63,1497.63,G25,45000
25,1800,0.085,0.085,0.032,16,20,0.14,0.118,2020,2020,1711.86,1917.29,1609.15,1609.15,J20,45000
25,2200,0.078,0.078,0.029,12.5,30,0.14,0.109,2160,2160,1830.51,2050.17,1720.68,1720.68,G30,55000
25,2200,0.078,0.078,0.024,16,25,0.14,0.109,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,55000
25,2700,0.064,0.064,0.023,12.5,35,0.14,0.088,2580,2580,2186.44,2448.81,2055.25,2055.25,G35,67500
25,2700,0.064,0.064,0.024,16,25,0.14,0.088,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,67500
25,3300,0.058,0.058,0.020,12.5,40,0.14,0.08,2920,2920,2474.58,2771.53,2326.1,2326.1,G40,82500
25,3300,0.058,0.058,0.020,16,31.5,0.14,0.08,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,82500
25,4700,0.045,0.045,0.019,16,35.5,0.14,0.062,3280,3280,2779.66,3113.22,2612.88,2612.88,J35,117500
25,4700,0.045,0.045,0.018,18,31.5,0.14,0.062,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,117500
25,5600,0.041,0.041,0.017,16,40,0.14,0.057,3630,3630,3076.27,3445.42,2891.69,2891.69,J40,140000
25,6800,0.036,0.036,0.016,18,40,0.14,0.051,4000,4000,3389.83,3796.61,3186.44,3186.44,K40,170000
35,220,0.305,0.305,0.098,10,12.5,0.12,0.723,725,725,470.78,616.72,400.16,400.16,F12,7700
35,220,0.305,0.305,0.075,10,16,0.12,0.723,951,951,617.53,808.97,524.9,524.9,F16,7700
35,330,0.203,0.203,0.075,10,16,0.12,0.482,951,951,617.53,808.97,524.9,524.9,F16,11550
35,330,0.203,0.203,0.057,10,20,0.12,0.482,1130,1130,733.77,961.23,623.7,623.7,F20,11550
35,470,0.191,0.191,0.057,10,20,0.12,0.339,1130,1130,849.62,1019.55,790.15,790.15,F20,16450
35,470,0.191,0.191,0.040,12.5,20,0.12,0.339,1550,1550,1165.41,1398.5,1083.83,1083.83,G20,16450
35,1000,0.105,0.105,0.032,12.5,25,0.12,0.186,1880,1880,1413.53,1696.24,1314.59,1314.59,G25,35000
35,1200,0.111,0.111,0.029,12.5,30,0.12,0.155,2160,2160,1830.51,2050.17,1720.68,1720.68,G30,42000
35,1200,0.111,0.111,0.032,16,20,0.12,0.155,2020,2020,1711.86,1917.29,1609.15,1609.15,J20,42000
35,1500,0.089,0.089,0.023,12.5,35,0.12,0.124,2580,2580,2186.44,2448.81,2055.25,2055.25,G35,52500
35,1500,0.089,0.089,0.020,16,31.5,0.12,0.124,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,52500
35,1800,0.074,0.074,0.020,12.5,40,0.12,0.103,2920,2920,2474.58,2771.53,2326.1,2326.1,G40,63000
35,1800,0.074,0.074,0.024,16,25,0.12,0.103,2550,2550,2161.02,2420.34,2031.36,2031.36,J25,63000
35,2200,0.069,0.069,0.020,16,31.5,0.12,0.096,3040,3040,2576.27,2885.42,2421.69,2421.69,J31,77000
35,2200,0.069,0.069,0.019,16,35.5,0.12,0.096,3280,3280,2779.66,3113.22,2612.88,2612.88,J35,77000
35,2700,0.056,0.056,0.019,16,35.5,0.12,0.079,3280,3280,2779.66,3113.22,2612.88,2612.88,J35,94500
35,2700,0.056,0.056,0.018,18,31.5,0.12,0.079,3410,3410,2889.83,3236.61,2716.44,2716.44,K31,94500
35,3300,0.052,0.052,0.017,16,40,0.12,0.072,3630,3630,3076.27,3445.42,2891.69,2891.69,J40,115500
35,3300,0.052,0.052,0.017,18,35.5,0.12,0.072,3710,3710,3144.07,3521.36,2955.42,2955.42,K35,115500
35,4700,0.041,0.041,0.016,18,40,0.12,0.056,4000,4000,3389.83,3796.61,3186.44,3186.44,K40,164500
50,220,0.254,0.254,0.081,10,20,0.1,0.603,930,930,603.9,791.1,513.31,513.31,F20,11000
50,470,0.16,0.16,0.057,12.5,20,0.1,0.282,1170,1170,879.7,1055.64,818.12,818.12,G20,23500
50,820,0.091,0.091,0.038,12.5,30,0.1,0.162,1680,1680,1263.16,1515.79,1174.74,1174.74,G30,41000
50,1000,0.09,0.09,0.031,16,25,0.1,0.159,1710,1710,1285.71,1542.86,1195.71,1195.71,J25,50000
50,1800,0.064,0.064,0.025,18,35.5,0.1,0.088,2670,2670,2262.71,2534.24,2126.95,2126.95,K31,90000
50,2200,0.061,0.061,0.022,18,35.5,0.1,0.084,2900,2900,2457.63,2752.54,2310.17,2310.17,K35,110000
63,470,0.16,0.16,0.19,16,20,0.1,0.282,1100,1100,827.07,992.48,769.17,769.17,J20,29610
63,820,0.091,0.091,0.080,16,31.5,0.1,0.162,1790,1790,1345.86,1615.04,1251.65,1251.65,J31,51660
63,1000,0.09,0.09,0.066,16,35.5,0.1,0.159,2010,2010,1511.28,1813.53,1405.49,1405.49,J35,63000
63,1800,0.064,0.064,0.051,18,40,0.1,0.088,2350,2350,1991.53,2230.51,1872.03,1872.03,K40,113400
80,330,0.136,0.136,0.19,16,20,0.08,0.322,1100,1100,714.29,935.71,607.14,607.14,J20,26400
80,470,0.128,0.128,0.11,16,25,0.08,0.226,1370,1370,1030.08,1236.09,957.97,957.97,J25,37600
