Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,33,2.625,2.481,10,30,0.2,8.038,EKWA401E□□330MJ30S,576,560,320,480,13200
400,39,2.221,2.099,10,35,0.2,6.801,EKWA401E□□390MJ35S,666,647.5,370,555,15600
400,47,1.843,1.742,10,40,0.2,5.644,EKWA401E□□470MJ40S,756,735,420,630,18800
400,56,1.547,1.462,10,45,0.2,4.737,EKWA401E□□560MJ45S,864,840,480,720,22400
400,56,1.547,1.462,12.5,30,0.2,4.737,EKWA401E□□560MK30S,828,805,460,690,22400
400,68,1.274,1.204,12.5,35,0.2,3.901,EKWA401E□□680MK35S,954,927.5,530,795,27200
400,82,1.056,0.998,12.5,40,0.2,3.235,EKWA401E□□820MK40S,1098,1067.5,610,915,32800
400,82,1.056,0.998,14.5,31.5,0.2,3.235,EKWA401E□□820MUN3S,1062,1032.5,590,885,32800
400,100,1.353,1.179,12.5,45,0.2,2.653,EKWA401E□□101MK45S,1035,966,690,897,40000
400,100,1.353,1.179,14.5,40,0.2,2.653,EKWA401E□□101MU40S,1050,980,700,910,40000
400,100,1.353,1.179,16,31.5,0.2,2.653,EKWA401E□□101MLN3S,1065,994,710,923,40000
400,120,1.128,0.982,14.5,45,0.2,2.21,EKWA401E□□121MU45S,1185,1106,790,1027,48000
400,120,1.128,0.982,16,35,0.2,2.21,EKWA401E□□121ML35S,1200,1120,800,1040,48000
400,120,1.128,0.982,18,31.5,0.2,2.21,EKWA401E□□121MMN3S,1200,1120,800,1040,48000
420,33,2.625,2.481,10,30,0.2,8.038,EKWA421E□□330MJ30S,576,560,320,480,13860
420,39,2.221,2.099,10,35,0.2,6.801,EKWA421E□□390MJ35S,666,647.5,370,555,16380
420,47,1.843,1.742,10,40,0.2,5.644,EKWA421E□□470MJ40S,756,735,420,630,19740
420,56,1.547,1.462,10,50,0.2,4.737,EKWA421E□□560MJ50S,900,875,500,750,23520
420,56,1.547,1.462,12.5,30,0.2,4.737,EKWA421E□□560MK30S,828,805,460,690,23520
420,68,1.274,1.204,12.5,35,0.2,3.901,EKWA421E□□680MK35S,954,927.5,530,795,28560
420,68,1.274,1.204,14.5,31.5,0.2,3.901,EKWA421E□□680MUN3S,954,927.5,530,795,28560
420,82,1.056,0.998,12.5,40,0.2,3.235,EKWA421E□□820MK40S,1098,1067.5,610,915,34440
420,82,1.056,0.998,14.5,35,0.2,3.235,EKWA421E□□820MU35S,1116,1085,620,930,34440
420,100,1.353,1.179,12.5,50,0.2,2.653,EKWA421E□□101MK50S,1020,952,680,884,42000
420,100,1.353,1.179,14.5,40,0.2,2.653,EKWA421E□□101MU40S,1050,980,700,910,42000
420,100,1.353,1.179,16,31.5,0.2,2.653,EKWA421E□□101MLN3S,1065,994,710,923,42000
420,120,1.128,0.982,14.5,45,0.2,2.21,EKWA421E□□121MU45S,1185,1106,790,1027,50400
420,120,1.128,0.982,16,35,0.2,2.21,EKWA421E□□121ML35S,1200,1120,800,1040,50400
420,120,1.128,0.982,18,31.5,0.2,2.21,EKWA421E□□121MMN3S,1200,1120,800,1040,50400
450,27,3.208,3.032,10,30,0.2,9.824,EKWA451E□□270MJ30S,522,507.5,290,435,12150
450,33,2.625,2.481,10,35,0.2,8.038,EKWA451E□□330MJ35S,612,595,340,510,14850
450,39,2.221,2.099,10,40,0.2,6.801,EKWA451E□□390MJ40S,684,665,380,570,17550
450,47,1.843,1.742,10,45,0.2,5.644,EKWA451E□□470MJ45S,792,770,440,660,21150
450,47,1.843,1.742,12.5,30,0.2,5.644,EKWA451E□□470MK30S,756,735,420,630,21150
450,56,1.547,1.462,12.5,35,0.2,4.737,EKWA451E□□560MK35S,864,840,480,720,25200
450,68,1.274,1.204,12.5,40,0.2,3.901,EKWA451E□□680MK40S,990,962.5,550,825,30600
450,68,1.274,1.204,14.5,31.5,0.2,3.901,EKWA451E□□680MUN3S,954,927.5,530,795,30600
450,82,1.056,0.998,12.5,45,0.2,3.235,EKWA451E□□820MK45S,1134,1102.5,630,945,36900
450,82,1.056,0.998,14.5,35,0.2,3.235,EKWA451E□□820MU35S,1116,1085,620,930,36900
450,82,1.056,0.998,16,31.5,0.2,3.235,EKWA451E□□820MLN3S,1152,1120,640,960,36900
450,100,1.353,1.179,14.5,45,0.2,2.653,EKWA451E□□101MU45S,1080,1008,720,936,45000
450,100,1.353,1.179,16,35,0.2,2.653,EKWA451E□□101ML35S,1095,1022,730,949,45000
450,120,1.128,0.982,18,31.5,0.2,2.21,EKWA451E□□121MMN3S,1200,1120,800,1040,54000
