Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,680,0.19,0.062,8,11.5,0.371,0.19,900,845.6,494.51,692.31,6800
10,1000,0.19,0.048,8,16,0.279,0.15,1210,1159.28,724.55,963.65,10000
10,1000,0.19,0.045,10,12.5,0.279,0.14,1240,1188.02,742.51,987.54,10000
10,1500,0.19,0.033,8,20,0.186,0.11,1410,1350.9,844.31,1122.93,15000
10,1500,0.19,0.032,10,16,0.186,0.1,1650,1580.84,988.02,1314.07,15000
10,1800,0.19,0.02,10,20,0.155,0.06,1960,1877.84,1173.65,1560.96,18000
10,2200,0.19,0.018,10,23,0.139,0.054,2250,2202.8,1573.43,1903.85,22000
10,3300,0.19,0.017,12.5,20,0.1,0.043,2480,2427.97,1734.27,2098.46,33000
10,3900,0.19,0.015,12.5,25,0.085,0.038,2900,2839.16,2027.97,2453.85,39000
10,4700,0.19,0.013,12.5,30,0.076,0.033,3450,3377.62,2412.59,2919.23,47000
10,5600,0.19,0.012,12.5,35,0.069,0.031,3570,3495.1,2496.5,3020.77,56000
16,470,0.16,0.062,8,11.5,0.452,0.19,900,845.6,494.51,692.31,7520
16,680,0.16,0.048,8,16,0.312,0.15,1210,1136.87,664.84,930.77,10880
16,680,0.16,0.045,10,12.5,0.312,0.14,1240,1165.05,681.32,953.85,10880
16,1000,0.16,0.033,8,20,0.239,0.11,1410,1350.9,844.31,1122.93,16000
16,1000,0.16,0.032,10,16,0.239,0.1,1650,1580.84,988.02,1314.07,16000
16,1500,0.16,0.02,10,20,0.159,0.06,1960,1877.84,1173.65,1560.96,24000
16,1800,0.16,0.018,10,23,0.133,0.054,2250,2155.69,1347.31,1791.92,28800
16,2200,0.16,0.017,10,25,0.121,0.051,2500,2447.55,1748.25,2115.38,35200
16,2200,0.16,0.017,12.5,20,0.121,0.043,2480,2427.97,1734.27,2098.46,35200
16,2700,0.16,0.015,12.5,25,0.098,0.038,2900,2839.16,2027.97,2453.85,43200
16,3300,0.16,0.013,12.5,30,0.088,0.033,3450,3377.62,2412.59,2919.23,52800
16,3900,0.16,0.012,12.5,35,0.075,0.031,3570,3495.1,2496.5,3020.77,62400
25,330,0.14,0.062,8,11.5,0.563,0.19,900,845.6,494.51,692.31,8250
25,390,0.14,0.048,8,16,0.476,0.15,1210,1136.87,664.84,930.77,9750
25,470,0.14,0.045,10,12.5,0.395,0.14,1240,1165.05,681.32,953.85,11750
25,560,0.14,0.033,8,20,0.332,0.11,1410,1324.78,774.73,1084.62,14000
25,680,0.14,0.032,10,16,0.273,0.1,1650,1550.27,906.59,1269.23,17000
25,820,0.14,0.02,10,20,0.226,0.06,1960,1877.84,1173.65,1560.96,20500
25,1000,0.14,0.02,10,20,0.212,0.06,1960,1877.84,1173.65,1560.96,25000
25,1000,0.14,0.018,10,23,0.212,0.054,2250,2155.69,1347.31,1791.92,25000
25,1500,0.14,0.017,12.5,20,0.141,0.043,2480,2376.05,1485.03,1975.09,37500
25,1800,0.14,0.015,12.5,25,0.118,0.038,2900,2778.44,1736.53,2309.58,45000
25,2200,0.14,0.013,12.5,30,0.109,0.033,3450,3377.62,2412.59,2919.23,55000
25,2700,0.14,0.012,12.5,35,0.088,0.031,3570,3495.1,2496.5,3020.77,67500
35,220,0.12,0.062,8,11.5,0.723,0.19,900,828,450,657,7700
35,270,0.12,0.048,8,16,0.589,0.15,1210,1113.2,605,883.3,9450
35,330,0.12,0.045,10,12.5,0.482,0.14,1240,1165.05,681.32,953.85,11550
35,390,0.12,0.033,8,20,0.408,0.11,1410,1324.78,774.73,1084.62,13650
35,470,0.12,0.032,10,16,0.339,0.1,1650,1550.27,906.59,1269.23,16450
35,560,0.12,0.02,10,20,0.284,0.06,1960,1841.54,1076.92,1507.69,19600
35,680,0.12,0.018,10,23,0.234,0.054,2250,2114.01,1236.26,1730.77,23800
35,1000,0.12,0.017,12.5,20,0.186,0.043,2480,2376.05,1485.03,1975.09,35000
35,1200,0.12,0.015,12.5,25,0.155,0.038,2900,2778.44,1736.53,2309.58,42000
35,1500,0.12,0.013,12.5,30,0.124,0.033,3450,3305.39,2065.87,2747.6,52500
35,1800,0.12,0.012,12.5,35,0.103,0.031,3570,3420.36,2137.72,2843.17,63000
