Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
250,27,1.495,1.495,12.5,20,0.15,7.368,2380,1780,1780,1780,801.8,1427.21,6750
250,39,1.035,1.035,12.5,25,0.15,5.101,3050,2280,2280,2280,1027.03,1828.11,9750
250,47,0.859,0.859,10,40,0.15,4.233,3260,2440,2440,2440,1099.1,1956.4,11750
250,47,0.859,0.859,16,20,0.15,4.233,3050,2280,2280,2280,1027.03,1828.11,11750
250,51,0.792,0.792,12.5,30,0.15,3.901,3710,2770,2770,2770,1247.75,2220.99,12750
275,27,1.495,1.495,12.5,20,0.15,7.368,2390,1790,1790,1790,806.31,1435.23,7425
275,39,1.035,1.035,12.5,25,0.15,5.101,3060,2290,2290,2290,1031.53,1836.13,10725
275,47,0.859,0.859,10,40,0.15,4.233,3280,2450,2450,2450,1103.6,1964.41,12925
275,47,0.859,0.859,16,20,0.15,4.233,3040,2270,2270,2270,1022.52,1820.09,12925
275,51,0.792,0.792,12.5,30,0.15,3.901,3720,2780,2780,2780,1252.25,2229.01,14025
290,22,1.835,1.835,12.5,20,0.15,9.043,2330,1740,1740,1740,783.78,1395.14,6380
290,33,1.223,1.223,12.5,25,0.15,6.029,3000,2240,2240,2240,1009.01,1796.04,9570
290,39,1.035,1.035,10,40,0.15,5.101,3200,2390,2390,2390,1076.58,1916.31,11310
290,39,1.035,1.035,16,20,0.15,5.101,3000,2240,2240,2240,1009.01,1796.04,11310
290,43,0.939,0.939,12.5,30,0.15,4.627,3630,2710,2710,2710,1220.72,2172.88,12470
