Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
10,330,0.2,0.17,10,12.5,0.804,EGXL100E□□331MJC5S,800,752,400,680,3300
10,470,0.2,0.17,10,12.5,0.564,EGXL100E□□471MJC5S,800,752,400,680,4700
10,1000,0.2,0.094,10,20,0.292,EGXL100E□□102MJ20S,1300,1229.94,778.44,1128.74,10000
16,220,0.16,0.17,10,12.5,0.965,EGXL160E□□221MJC5S,800,752,400,680,3520
16,330,0.16,0.17,10,12.5,0.643,EGXL160E□□331MJC5S,800,752,400,680,5280
16,470,0.16,0.12,10,16,0.452,EGXL160E□□471MJ16S,1050,987,525,892.5,7520
25,220,0.14,0.17,10,12.5,0.844,EGXL250E□□221MJC5S,800,752,400,680,5500
25,330,0.14,0.12,10,16,0.563,EGXL250E□□331MJ16S,1050,987,525,892.5,8250
25,470,0.14,0.094,10,20,0.395,EGXL250E□□471MJ20S,1300,1222,650,1105,11750
35,100,0.12,0.17,10,12.5,1.592,EGXL350E□□101MJC5S,800,720,320,601.6,3500
35,220,0.12,0.12,10,16,0.723,EGXL350E□□221MJ16S,1050,987,525,892.5,7700
35,330,0.12,0.094,10,20,0.482,EGXL350E□□331MJ20S,1300,1222,650,1105,11550
50,100,0.1,0.3,10,12.5,1.326,EGXL500E□□101MJC5S,590,531,236,443.68,5000
50,220,0.1,0.19,10,20,0.603,EGXL500E□□221MJ20S,970,911.8,485,824.5,11000
