Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
250,30,1.346,1.346,12.5,20,0.15,6.631,1870,1100,1100,1100,495.5,881.98,7500
250,36,1.121,1.121,10,30,0.15,5.526,2260,1330,1330,1330,599.1,1066.4,9000
250,43,0.939,0.939,10,35,0.15,4.627,2630,1550,1550,1550,698.2,1242.79,10750
250,43,0.939,0.939,12.5,25,0.15,4.627,2390,1410,1410,1410,635.14,1130.54,10750
250,51,0.792,0.792,10,40,0.15,3.901,2990,1760,1760,1760,792.79,1411.17,12750
250,51,0.792,0.792,16,20,0.15,3.901,2440,1440,1440,1440,648.65,1154.59,12750
250,56,0.721,0.721,12.5,30,0.15,3.553,2900,1710,1710,1710,770.27,1371.08,14000
275,30,1.346,1.346,12.5,20,0.15,6.631,1730,1020,1020,1020,459.46,817.84,8250
275,36,1.121,1.121,10,30,0.15,5.526,2100,1240,1240,1240,558.56,994.23,9900
275,43,0.939,0.939,10,35,0.15,4.627,2440,1440,1440,1440,648.65,1154.59,11825
275,43,0.939,0.939,12.5,25,0.15,4.627,2220,1310,1310,1310,590.09,1050.36,11825
275,51,0.792,0.792,10,40,0.15,3.901,2780,1640,1640,1640,738.74,1314.95,14025
275,51,0.792,0.792,16,20,0.15,3.901,2290,1350,1350,1350,608.11,1082.43,14025
275,56,0.721,0.721,12.5,30,0.15,3.553,2700,1590,1590,1590,716.22,1274.86,15400
290,24,1.682,1.682,12.5,20,0.15,8.289,1410,830,830,830,373.87,665.5,6960
290,30,1.346,1.346,10,30,0.15,6.631,1700,1000,1000,1000,450.45,801.8,8700
290,36,1.121,1.121,10,35,0.15,5.526,1970,1160,1160,1160,522.52,930.09,10440
290,36,1.121,1.121,12.5,25,0.15,5.526,1800,1060,1060,1060,477.48,849.91,10440
290,43,0.939,0.939,10,40,0.15,4.627,2240,1320,1320,1320,594.59,1058.38,12470
290,43,0.939,0.939,16,20,0.15,4.627,1870,1100,1100,1100,495.5,881.98,12470
290,43,0.939,0.939,12.5,30,0.15,4.627,2190,1290,1290,1290,581.08,1034.32,12470
