Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
6.3,100,0.3,6.3,11.2,3.979,0.5,2.5,5,2.5,ECA0JEN101( ),221,221,130,169,91,91,200,2000,630
6.3,330,0.3,8,11.5,1.206,0.6,3.5,5,,ECA0JEN331( ),425,425,250,325,175,175,200,1000,2079
10,47,0.24,5,11,6.773,0.5,2,5,2.5,ECA1AEN470( ),153,153,90,117,63,63,200,2000,470
10,10,0.2,5,11,26.526,0.5,2,5,2.5,ECA1CEN100( ),68,68,40,52,28,28,200,2000,100
10,22,0.2,5,11,12.057,0.5,2,5,2.5,ECA1CEN220( ),102,102,60,78,42,42,200,2000,220
10,33,0.2,5,11,8.038,0.5,2,5,2.5,ECA1CEN330( ),136,136,80,104,56,56,200,2000,330
10,47,0.2,6.3,11.2,5.644,0.5,2.5,5,2.5,ECA1CEN470( ),170,170,100,130,70,70,200,2000,470
16,10,0.15,5,11,19.894,0.5,2,5,2.5,ECA1EEN100( ),76.5,76.5,45,58.5,31.5,31.5,200,2000,160
16,22,0.15,6.3,11.2,9.043,0.5,2.5,5,2.5,ECA1EEN220( ),102,102,60,78,42,42,200,2000,352
16,33,0.15,6.3,11.2,6.029,0.5,2.5,5,2.5,ECA1EEN330( ),153,153,90,117,63,63,200,2000,528
16,47,0.15,6.3,11.2,4.233,0.5,2.5,5,2.5,ECA1EEN470( ),187,187,110,143,77,77,200,2000,752
16,100,0.15,8,11.5,1.989,0.6,3.5,5,,ECA1EEN101( ),306,306,180,234,126,126,200,1000,1600
25,33,0.15,8,11.5,6.029,0.6,3.5,5,,ECA1VEN330( ),170,170,100,130,70,70,200,1000,825
25,100,0.15,10,16,1.989,0.6,5,5,,ECA1VEN101( ),391,391,230,299,161,161,200,500,2500
35,2.2,0.15,5,11,90.429,0.5,2,5,2.5,ECA1HEN2R2( ),30.6,30.6,18,23.4,12.6,12.6,200,2000,77
35,3.3,0.15,5,11,60.286,0.5,2,5,2.5,ECA1HEN3R3( ),42.5,42.5,25,32.5,17.5,17.5,200,2000,115.5
35,4.7,0.15,5,11,42.328,0.5,2,5,2.5,ECA1HEN4R7( ),51,51,30,39,21,21,200,2000,164.5
35,10,0.15,6.3,11.2,19.894,0.5,2.5,5,2.5,ECA1HEN100( ),85,85,50,65,35,35,200,2000,350
50,22,0.15,8,11.5,9.043,0.6,3.5,5,,ECA1HEN220( ),153,153,90,117,63,63,200,1000,1100
50,33,0.15,8,11.5,6.029,0.6,3.5,5,,ECA1HEN330( ),187,187,110,143,77,77,200,1000,1650
50,47,0.15,10,12.5,4.233,0.6,5,5,,ECA1HEN470( ),238,238,140,182,98,98,200,500,2350
50,100,0.15,10,20,1.989,0.6,5,5,,ECA1HEN101( ),425,425,250,325,175,175,200,500,5000
