Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,18,3.493,2.829,10,20,0.24,17.684,EKXL401E□□180MJ20S,550,495,220,385,7200
400,22,2.858,2.315,10,25,0.24,14.469,EKXL401E□□220MJ25S,625,562.5,250,437.5,8800
400,27,2.329,1.886,12.5,20,0.24,11.789,EKXL401E□□270MK20S,750,675,300,525,10800
400,33,1.905,1.543,10,30,0.24,9.646,EKXL401E□□330MJ30S,850,765,340,595,13200
400,39,1.612,1.306,10,35,0.24,8.162,EKXL401E□□390MJ35S,975,877.5,390,682.5,15600
400,39,1.612,1.306,12.5,25,0.24,8.162,EKXL401E□□390MK25S,975,877.5,390,682.5,15600
400,39,1.612,1.306,14.5,20,0.24,8.162,EKXL401E□□390MU20S,925,832.5,370,647.5,15600
400,47,1.338,1.084,10,40,0.24,6.773,EKXL401E□□470MJ40S,1100,990,440,770,18800
400,56,1.123,0.909,10,45,0.24,5.684,EKXL401E□□560MJ45S,1250,1125,500,875,22400
400,56,1.123,0.909,12.5,30,0.24,5.684,EKXL401E□□560MK30S,1237.5,1113.75,495,866.25,22400
400,56,1.123,0.909,14.5,25,0.24,5.684,EKXL401E□□560MU25S,1237.5,1113.75,495,866.25,22400
400,56,1.123,0.909,16,20,0.24,5.684,EKXL401E□□560ML20S,1200,1080,480,840,22400
400,68,0.925,0.749,12.5,35,0.24,4.681,EKXL401E□□680MK35S,1425,1282.5,570,997.5,27200
400,68,0.925,0.749,14.5,30,0.24,4.681,EKXL401E□□680MU30S,1462.5,1316.25,585,1023.75,27200
400,68,0.925,0.749,16,25,0.24,4.681,EKXL401E□□680ML25S,1425,1282.5,570,997.5,27200
400,68,0.925,0.749,18,20,0.24,4.681,EKXL401E□□680MM20S,1325,1192.5,530,927.5,27200
400,82,0.767,0.621,12.5,40,0.24,3.882,EKXL401E□□820MK40S,1625,1462.5,650,1137.5,32800
400,82,0.767,0.621,14.5,35,0.24,3.882,EKXL401E□□820MU35S,1675,1507.5,670,1172.5,32800
400,100,0.757,0.629,12.5,50,0.24,3.183,EKXL401E□□101MK50S,1710,1558,760,1269.2,40000
400,100,0.757,0.629,14.5,40,0.24,3.183,EKXL401E□□101MU40S,1710,1558,760,1269.2,40000
400,100,0.757,0.629,16,30,0.24,3.183,EKXL401E□□101ML30S,1620,1476,720,1202.4,40000
400,100,0.757,0.629,18,25,0.24,3.183,EKXL401E□□101MM25S,1597.5,1455.5,710,1185.7,40000
400,120,0.631,0.524,14.5,45,0.24,2.653,EKXL401E□□121MU45S,1890,1722,840,1402.8,48000
400,120,0.631,0.524,16,35,0.24,2.653,EKXL401E□□121ML35S,1822.5,1660.5,810,1352.7,48000
400,120,0.631,0.524,18,30,0.24,2.653,EKXL401E□□121MM30S,1890,1722,840,1402.8,48000
400,150,0.505,0.419,18,35,0.24,2.122,EKXL401E□□151MM35S,2092.5,1906.5,930,1553.1,60000
420,15,4.192,3.395,10,20,0.24,21.221,EKXL421E□□150MJ20S,487.5,438.75,195,341.25,6300
420,22,2.858,2.315,10,25,0.24,14.469,EKXL421E□□220MJ25S,625,562.5,250,437.5,9240
420,27,2.329,1.886,10,30,0.24,11.789,EKXL421E□□270MJ30S,750,675,300,525,11340
420,27,2.329,1.886,12.5,20,0.24,11.789,EKXL421E□□270MK20S,750,675,300,525,11340
420,33,1.905,1.543,10,35,0.24,9.646,EKXL421E□□330MJ35S,875,787.5,350,612.5,13860
420,33,1.905,1.543,12.5,25,0.24,9.646,EKXL421E□□330MK25S,875,787.5,350,612.5,13860
420,33,1.905,1.543,14.5,20,0.24,9.646,EKXL421E□□330MU20S,875,787.5,350,612.5,13860
420,39,1.612,1.306,10,40,0.24,8.162,EKXL421E□□390MJ40S,1000,900,400,700,16380
420,47,1.338,1.084,10,45,0.24,6.773,EKXL421E□□470MJ45S,1150,1035,460,805,19740
420,47,1.338,1.084,12.5,30,0.24,6.773,EKXL421E□□470MK30S,1100,990,440,770,19740
420,47,1.338,1.084,16,20,0.24,6.773,EKXL421E□□470ML20S,1075,967.5,430,752.5,19740
420,56,1.123,0.909,10,50,0.24,5.684,EKXL421E□□560MJ50S,1300,1170,520,910,23520
420,56,1.123,0.909,12.5,35,0.24,5.684,EKXL421E□□560MK35S,1275,1147.5,510,892.5,23520
420,56,1.123,0.909,14.5,25,0.24,5.684,EKXL421E□□560MU25S,1225,1102.5,490,857.5,23520
420,68,0.925,0.749,12.5,40,0.24,4.681,EKXL421E□□680MK40S,1450,1305,580,1015,28560
420,68,0.925,0.749,14.5,30,0.24,4.681,EKXL421E□□680MU30S,1400,1260,560,980,28560
420,68,0.925,0.749,16,25,0.24,4.681,EKXL421E□□680ML25S,1400,1260,560,980,28560
420,68,0.925,0.749,18,20,0.24,4.681,EKXL421E□□680MM20S,1350,1215,540,945,28560
420,82,0.767,0.621,12.5,45,0.24,3.882,EKXL421E□□820MK45S,1650,1485,660,1155,34440
420,82,0.767,0.621,14.5,35,0.24,3.882,EKXL421E□□820MU35S,1650,1485,660,1155,34440
420,82,0.767,0.621,16,30,0.24,3.882,EKXL421E□□820ML30S,1625,1462.5,650,1137.5,34440
420,82,0.767,0.621,18,25,0.24,3.882,EKXL421E□□820MM25S,1600,1440,640,1120,34440
420,100,0.757,0.629,12.5,50,0.24,3.183,EKXL421E□□101MK50S,1687.5,1537.5,750,1252.5,42000
420,100,0.757,0.629,14.5,40,0.24,3.183,EKXL421E□□101MU40S,1620,1476,720,1202.4,42000
420,100,0.757,0.629,16,35,0.24,3.183,EKXL421E□□101ML35S,1642.5,1496.5,730,1219.1,42000
420,120,0.631,0.524,16,40,0.24,2.653,EKXL421E□□121ML40S,1890,1722,840,1402.8,50400
420,120,0.631,0.524,18,30,0.24,2.653,EKXL421E□□121MM30S,1800,1640,800,1336,50400
450,15,4.192,3.395,10,20,0.24,21.221,EKXL451E□□150MJ20S,475,427.5,190,332.5,6750
450,18,3.493,2.829,10,25,0.24,17.684,EKXL451E□□180MJ25S,575,517.5,230,402.5,8100
450,27,2.329,1.886,10,30,0.24,11.789,EKXL451E□□270MJ30S,750,675,300,525,12150
450,27,2.329,1.886,12.5,20,0.24,11.789,EKXL451E□□270MK20S,725,652.5,290,507.5,12150
450,33,1.905,1.543,10,35,0.24,9.646,EKXL451E□□330MJ35S,875,787.5,350,612.5,14850
450,33,1.905,1.543,12.5,25,0.24,9.646,EKXL451E□□330MK25S,900,810,360,630,14850
450,33,1.905,1.543,14.5,20,0.24,9.646,EKXL451E□□330MU20S,837.5,753.75,335,586.25,14850
450,39,1.612,1.306,10,40,0.24,8.162,EKXL451E□□390MJ40S,1000,900,400,700,17550
450,39,1.612,1.306,16,20,0.24,8.162,EKXL451E□□390ML20S,1000,900,400,700,17550
450,47,1.338,1.084,10,50,0.24,6.773,EKXL451E□□470MJ50S,1200,1080,480,840,21150
450,47,1.338,1.084,12.5,30,0.24,6.773,EKXL451E□□470MK30S,1100,990,440,770,21150
450,47,1.338,1.084,14.5,25,0.24,6.773,EKXL451E□□470MU25S,1125,1012.5,450,787.5,21150
450,56,1.123,0.909,12.5,35,0.24,5.684,EKXL451E□□560MK35S,1250,1125,500,875,25200
450,56,1.123,0.909,14.5,30,0.24,5.684,EKXL451E□□560MU30S,1350,1215,540,945,25200
450,56,1.123,0.909,16,25,0.24,5.684,EKXL451E□□560ML25S,1250,1125,500,875,25200
450,56,1.123,0.909,18,20,0.24,5.684,EKXL451E□□560MM20S,1250,1125,500,875,25200
450,68,0.925,0.749,12.5,40,0.24,4.681,EKXL451E□□680MK40S,1450,1305,580,1015,30600
450,68,0.925,0.749,14.5,35,0.24,4.681,EKXL451E□□680MU35S,1550,1395,620,1085,30600
450,82,0.767,0.621,12.5,50,0.24,3.882,EKXL451E□□820MK50S,1700,1530,680,1190,36900
450,82,0.767,0.621,14.5,40,0.24,3.882,EKXL451E□□820MU40S,1675,1507.5,670,1172.5,36900
450,82,0.767,0.621,16,30,0.24,3.882,EKXL451E□□820ML30S,1625,1462.5,650,1137.5,36900
450,82,0.767,0.621,18,25,0.24,3.882,EKXL451E□□820MM25S,1625,1462.5,650,1137.5,36900
450,100,0.757,0.629,14.5,45,0.24,3.183,EKXL451E□□101MU45S,1710,1558,760,1269.2,45000
450,100,0.757,0.629,16,35,0.24,3.183,EKXL451E□□101ML35S,1642.5,1496.5,730,1219.1,45000
450,100,0.757,0.629,18,30,0.24,3.183,EKXL451E□□101MM30S,1687.5,1537.5,750,1252.5,45000
450,120,0.631,0.524,18,35,0.24,2.653,EKXL451E□□121MM35S,1935,1763,860,1436.2,54000
