Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Ripple Current 130°C@100kHz,Ripple Current 130°C@10kHz,Ripple Current 130°C@120Hz,Ripple Current 130°C@1kHz,Ripple Current 130°C@50Hz,Ripple Current 130°C@60Hz,VC
10,330,0.435,0.393,0.22,8,11.5,0.2,0.804,360,342.38,251.75,304.62,216.5,216.5,3300
10,470,0.329,0.319,0.15,10,12.5,0.2,0.564,620,610.68,466.17,559.4,405.56,405.56,4700
10,1000,0.17,0.165,0.073,10,20,0.2,0.292,960,945.56,721.8,866.17,627.97,627.97,10000
10,2200,0.093,0.093,0.04,12.5,25,0.2,0.145,1430,1430,1144,1361.36,1075.36,1075.36,22000
10,3300,0.067,0.067,0.038,16,25,0.2,0.104,1900,1900,1520,1808.8,1428.8,1428.8,33000
10,4700,0.051,0.051,0.034,16,31.5,0.2,0.079,2300,2300,1840,2189.6,1729.6,1729.6,47000
16,330,0.348,0.314,0.22,8,11.5,0.16,0.643,360,342.38,251.75,304.62,216.5,216.5,5280
16,470,0.263,0.255,0.15,10,12.5,0.16,0.452,620,610.68,466.17,559.4,405.56,405.56,7520
16,1000,0.139,0.135,0.073,10,20,0.16,0.239,960,945.56,721.8,866.17,627.97,627.97,16000
16,2200,0.077,0.077,0.04,12.5,25,0.16,0.121,1430,1430,1144,1361.36,1075.36,1075.36,35200
16,3300,0.057,0.057,0.034,16,31.5,0.16,0.088,2300,2300,1840,2189.6,1729.6,1729.6,52800
16,4700,0.043,0.043,0.031,16,35.5,0.16,0.068,2550,2550,2040,2427.6,1917.6,1917.6,75200
25,220,0.456,0.413,0.22,8,11.5,0.14,0.844,360,342.38,251.75,304.62,216.5,216.5,5500
25,330,0.304,0.275,0.15,10,12.5,0.14,0.563,620,589.65,433.57,524.62,372.87,372.87,8250
25,470,0.23,0.223,0.1,10,16,0.14,0.395,800,787.97,601.5,721.8,523.31,523.31,11750
25,1000,0.124,0.12,0.055,12.5,20,0.14,0.212,1100,1083.46,827.07,992.48,719.55,719.55,25000
25,2200,0.069,0.069,0.034,16,31.5,0.14,0.109,2300,2300,1840,2189.6,1729.6,1729.6,55000
25,3300,0.051,0.051,0.031,16,35.5,0.14,0.08,2550,2550,2040,2427.6,1917.6,1917.6,82500
35,100,0.86,0.778,0.22,8,11.5,0.12,1.592,360,342.38,251.75,304.62,216.5,216.5,3500
35,220,0.391,0.354,0.15,10,12.5,0.12,0.723,620,589.65,433.57,524.62,372.87,372.87,7700
35,330,0.261,0.236,0.1,10,16,0.12,0.482,800,760.84,559.44,676.92,481.12,481.12,11550
35,470,0.197,0.191,0.073,10,20,0.12,0.339,960,945.56,721.8,866.17,627.97,627.97,16450
35,1000,0.108,0.105,0.04,12.5,25,0.12,0.186,1430,1408.5,1075.19,1290.23,935.41,935.41,35000
35,2200,0.062,0.062,0.031,16,35.5,0.12,0.096,2550,2550,2040,2427.6,1917.6,1917.6,77000
35,3300,0.046,0.046,0.028,18,35.5,0.12,0.072,2800,2800,2240,2665.6,2105.6,2105.6,115500
50,4.7,7.817,4.982,0.85,8,11.5,0.1,28.219,100,79.83,42.02,60.08,34.87,34.87,235
50,4.7,4.515,,0.85,8,11.5,0.1,28.219,100,,,,,,235
50,10,4.931,4.004,0.6,8,11.5,0.1,13.263,200,180.22,109.89,149.45,90.11,90.11,500
50,10,4.756,,0.6,8,11.5,0.1,13.263,200,,,,,,500
50,22,2.241,1.82,0.35,8,11.5,0.1,6.029,260,234.29,142.86,194.29,117.14,117.14,1100
50,22,3.858,,0.35,8,11.5,0.1,6.029,260,,,,,,1100
50,33,1.494,1.213,0.28,8,11.5,0.1,4.019,300,270.33,164.84,224.18,135.16,135.16,1650
50,33,2.572,,0.28,8,11.5,0.1,4.019,300,,,,,,1650
50,47,1.526,1.38,0.28,8,11.5,0.1,2.822,300,285.31,209.79,253.85,180.42,180.42,2350
50,100,0.717,0.649,0.18,10,12.5,0.1,1.326,520,494.55,363.64,440,312.73,312.73,5000
50,220,0.326,0.295,0.082,10,20,0.1,0.603,890,846.43,622.38,753.08,535.24,535.24,11000
50,330,0.217,0.197,0.065,12.5,20,0.1,0.402,1000,951.05,699.3,846.15,601.4,601.4,16500
50,470,0.164,0.16,0.051,12.5,25,0.1,0.282,1200,1181.95,902.26,1082.71,784.96,784.96,23500
50,1000,0.093,0.09,0.037,16,31.5,0.1,0.159,2180,2147.22,1639.1,1966.92,1426.02,1426.02,50000
50,2200,0.054,0.054,0.029,18,40,0.1,0.084,2800,2800,2240,2665.6,2105.6,2105.6,110000
63,33,1.345,1.092,0.4,8,11.5,0.09,3.617,250,225.27,137.36,186.81,112.64,112.64,2079
63,33,2.315,,0.4,8,11.5,0.09,3.617,250,,,,,,2079
63,47,1.373,1.242,0.27,10,12.5,0.09,2.54,400,380.42,279.72,338.46,240.56,240.56,2961
63,100,0.645,0.584,0.2,10,16,0.09,1.194,450,427.97,314.69,380.77,270.63,270.63,6300
63,220,0.293,0.265,0.1,12.5,20,0.09,0.543,820,779.86,573.43,693.85,493.15,493.15,13860
63,330,0.196,0.177,0.072,12.5,25,0.09,0.362,1000,951.05,699.3,846.15,601.4,601.4,20790
63,470,0.148,0.144,0.069,16,25,0.09,0.254,1500,1477.44,1127.82,1353.38,981.2,981.2,29610
63,1000,0.085,0.082,0.056,16,31.5,0.09,0.146,1850,1822.18,1390.98,1669.17,1210.15,1210.15,63000
63,1500,0.057,0.055,0.043,18,40,0.09,0.097,2350,2314.66,1766.92,2120.3,1537.22,1537.22,94500
100,4.7,6.254,3.985,1.3,8,11.5,0.08,22.575,100,79.83,42.02,60.08,34.87,34.87,470
100,4.7,3.612,,1.3,8,11.5,0.08,22.575,100,,,,,,470
100,10,3.945,3.203,1,8,11.5,0.08,10.61,200,180.22,109.89,149.45,90.11,90.11,1000
100,10,3.804,,1,8,11.5,0.08,10.61,200,,,,,,1000
100,22,1.793,1.456,0.67,8,11.5,0.08,4.823,220,198.24,120.88,164.4,99.12,99.12,2200
100,22,3.087,,0.67,8,11.5,0.08,4.823,220,,,,,,2200
100,33,1.195,0.971,0.45,10,12.5,0.08,3.215,260,234.29,142.86,194.29,117.14,117.14,3300
100,33,2.058,,0.45,10,12.5,0.08,3.215,260,,,,,,3300
100,47,1.221,1.104,0.33,10,16,0.08,2.258,330,313.85,230.77,279.23,198.46,198.46,4700
100,100,0.574,0.519,0.17,12.5,20,0.08,1.061,670,637.2,468.53,566.92,402.94,402.94,10000
100,220,0.261,0.236,0.13,16,25,0.08,0.482,1100,1046.15,769.23,930.77,661.54,661.54,22000
100,330,0.174,0.157,0.1,16,31.5,0.08,0.322,1300,1236.36,909.09,1100,781.82,781.82,33000
100,470,0.132,0.128,0.092,18,31.5,0.08,0.226,1600,1575.94,1203.01,1443.61,1046.62,1046.62,47000
200,4.7,11.725,7.473,,6.3,11,0.15,42.328,100,79.83,42.02,60.08,34.87,34.87,940
200,4.7,6.773,,,6.3,11,0.15,42.328,100,,,,,,940
200,4.7,11.725,7.473,,8,11.5,0.15,42.328,120,95.8,50.42,72.1,41.85,41.85,940
200,4.7,6.773,,,8,11.5,0.15,42.328,120,,,,,,940
200,5.6,5.684,,,8,11.5,0.15,35.526,130,,,,,,1120
200,5.6,5.684,,,8,16,0.15,35.526,180,,,,,,1120
200,6.8,10.49,,,8,11.5,0.15,29.256,130,,,,,,1360
200,6.8,10.49,,,8,16,0.15,29.256,180,,,,,,1360
200,10,7.397,6.006,,8,16,0.15,19.894,200,180.22,109.89,149.45,90.11,90.11,2000
200,10,7.133,,,8,16,0.15,19.894,200,,,,,,2000
200,10,7.397,6.006,,8,20,0.15,19.894,240,216.26,131.87,179.34,108.13,108.13,2000
200,10,7.133,,,8,20,0.15,19.894,240,,,,,,2000
200,15,4.931,4.004,,8,16,0.15,13.263,200,180.22,109.89,149.45,90.11,90.11,3000
200,15,4.756,,,8,16,0.15,13.263,200,,,,,,3000
200,15,4.931,4.004,,8,20,0.15,13.263,240,216.26,131.87,179.34,108.13,108.13,3000
200,15,4.756,,,8,20,0.15,13.263,240,,,,,,3000
200,22,3.362,2.73,,8,20,0.15,9.043,300,270.33,164.84,224.18,135.16,135.16,4400
200,22,5.787,,,8,20,0.15,9.043,300,,,,,,4400
200,22,3.362,2.73,,10,16,0.15,9.043,240,216.26,131.87,179.34,108.13,108.13,4400
200,22,5.787,,,10,16,0.15,9.043,240,,,,,,4400
200,33,2.241,1.82,,10,20,0.15,6.029,320,288.35,175.82,239.12,144.18,144.18,6600
200,33,3.858,,,10,20,0.15,6.029,320,,,,,,6600
400,1,42.441,,,6.3,11,0.2,265.258,60,,,,,,400
400,1,42.441,,,8,11.5,0.2,265.258,65,,,,,,400
400,1.5,28.294,,,8,11.5,0.2,176.839,75,,,,,,600
400,1.5,28.294,,,8,16,0.2,176.839,80,,,,,,600
400,1.8,23.579,,,8,11.5,0.2,147.366,75,,,,,,720
400,1.8,23.579,,,8,16,0.2,147.366,85,,,,,,720
400,2.2,19.292,,,8,11.5,0.2,120.572,75,,,,,,880.0000000000001
400,2.2,19.292,,,8,16,0.2,120.572,90,,,,,,880.0000000000001
400,2.2,19.292,,,8,20,0.2,120.572,110,,,,,,880.0000000000001
400,2.7,15.719,,,8,16,0.2,98.244,95,,,,,,1080
400,2.7,15.719,,,8,20,0.2,98.244,115,,,,,,1080
400,3.3,12.861,,,8,16,0.2,80.381,100,,,,,,1320
400,3.3,12.861,,,8,20,0.2,80.381,120,,,,,,1320
400,4.7,15.634,9.964,,8,20,0.2,56.438,120,95.8,50.42,72.1,41.85,41.85,1880
400,4.7,9.03,,,8,20,0.2,56.438,120,,,,,,1880
400,4.7,15.634,9.964,,10,16,0.2,56.438,125,99.79,52.52,75.11,43.59,43.59,1880
400,4.7,9.03,,,10,16,0.2,56.438,125,,,,,,1880
400,5.6,7.579,,,10,16,0.2,47.368,130,,,,,,2240
400,5.6,7.579,,,10,20,0.2,47.368,145,,,,,,2240
400,6.8,13.987,,,10,20,0.2,39.009,150,,,,,,2720
