Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,390,0.012,6.3,5,-55,105,0.1,2000,500,4000,RS60E391MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,3500,MP,Normal,0.5
2.5,560,0.013,6.3,5,-55,105,0.12,2000,700,4000,RS60E561MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,3600,MP,Normal,0.5
2.5,560,0.013,6.3,5,-55,105,0.12,5000,700,4000,RS60E561MCNASQ,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,3600,MP,Normal,0.5
6.3,220,0.015,6.3,5,-55,105,0.12,2000,500,4000,RS60J221MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,3200,MP,Normal,0.5
10,150,0.025,6.3,5,-55,105,0.1,2000,450,4000,RS61A151MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,2500,MP,Normal,0.5
16,100,0.024,6.3,6,-55,105,0.1,2000,500,4000,RS61C101MCS1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,2490,MP,Normal,0.42
16,100,0.024,6.3,6,-55,105,0.1,2000,500,4000,RS61C101MDS1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,2490,MP,Normal,0.42
16,180,0.02,6.3,5,-55,105,0.1,2000,576,4000,RS61C181MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,3200,MP,Normal,0.5
25,33,0.06,6.3,5,-55,105,0.1,2000,165,4000,RS61E330MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,1700,MP,Normal,0.5
25,47,0.03,6.3,5,-55,105,0.1,2000,235,4000,RS61E470MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,2800,MP,Normal,0.5
25,56,0.03,6.3,5,-55,105,0.1,2000,280,4000,RS61E560MCN1,Uni-Polar,Radial Lead,Minitualized Hi-Cap.,2800,MP,Normal,0.5
