Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLE0E561MCO1,EOL,2.5,560.00,8.0,9.0,-55,105,2000,0.75,0.08,280,6100,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0E821MCO6,EOL,2.5,820.00,8.0,9.0,-55,105,2000,0.75,0.08,410,6300,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0E821MDO1,EOL,2.5,820.00,8.0,12.0,-55,105,2000,0.95,0.08,410,6600,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0E102MDO1,EOL,2.5,1000.00,10.0,13.0,-55,105,2000,1.50,0.08,500,7100,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0E152MDO1,EOL,2.5,1500.00,10.0,13.0,-55,105,2000,1.50,0.08,750,7300,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0G561MCO1,EOL,4.0,560.00,8.0,9.0,-55,105,2000,0.75,0.08,448,6000,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0G681MDO1,EOL,4.0,680.00,8.0,12.0,-55,105,2000,0.95,0.08,544,6500,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0G821MDO1,EOL,4.0,820.00,10.0,13.0,-55,105,2000,1.50,0.08,656,7000,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0G122MDO1,EOL,4.0,1200.00,10.0,13.0,-55,105,2000,1.50,0.08,960,7200,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0J471MDO1,EOL,6.3,470.00,8.0,12.0,-55,105,2000,0.95,0.08,592,6400,,5,,,,,,2000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0J681MDO1,EOL,6.3,680.00,10.0,13.0,-55,105,2000,1.50,0.08,857,6700,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
PLE0J821MDO1,EOL,6.3,820.00,10.0,13.0,-55,105,2000,1.50,0.08,1033,6800,,5,,,,,,1000,Radial Lead,Ultra-Lo-ESR,Uni-Polar,Normal
