Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
RNE0E681MDN1,MP,2.5,680.00,8.0,6.0,-55,105,2000,0.53,0.10,500,4900,,0.008,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0E821MCNASQ,MP,2.5,820.00,8.0,6.0,-55,105,5000,0.53,0.10,500,4900,,0.008,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0E821MDNASQ,MP,2.5,820.00,8.0,6.0,-55,105,5000,0.53,0.10,500,4900,,0.008,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J271MDS1,MP,6.3,270.00,5.0,8.0,-55,105,2000,0.40,0.10,500,3600,,0.012,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J331MCS1,MP,6.3,330.00,5.0,8.0,-55,105,2000,0.40,0.10,500,3700,,0.01,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J331MDS1,MP,6.3,330.00,5.0,8.0,-55,105,2000,0.40,0.10,500,3700,,0.01,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J122MDN1,MP,6.3,1200.00,8.0,9.0,-55,105,2000,0.88,0.08,1512,5700,,0.01,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J152MCN1,MP,6.3,1500.00,8.0,11.5,-55,105,2000,0.93,0.12,1890,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE0J152MDN1,MP,6.3,1500.00,8.0,11.5,-55,105,2000,0.93,0.12,1890,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1A221MDS1,MP,10.0,220.00,6.3,10.0,-55,105,2000,0.54,0.08,440,2500,,0.03,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C101MDS1,MP,16.0,100.00,5.0,10.0,-55,105,2000,0.38,0.08,320,2300,,0.035,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C221MDN1,MP,16.0,220.00,8.0,6.0,-55,105,2000,0.53,0.10,500,4150,,0.013,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C271MCS1,MP,16.0,270.00,6.3,10.0,-55,105,2000,0.54,0.08,864,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C271MCSASQ,MP,16.0,270.00,6.3,10.0,-55,105,5000,0.54,0.08,864,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C331MCS1,MP,16.0,330.00,6.3,10.0,-55,105,2000,0.54,0.08,1056,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C331MCSASQ,MP,16.0,330.00,6.3,10.0,-55,105,5000,0.54,0.08,1056,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C391MCS1,MP,16.0,390.00,6.3,10.0,-55,105,2000,0.54,0.08,1248,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C391MCSASQ,MP,16.0,390.00,6.3,10.0,-55,105,5000,0.54,0.08,1248,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MCS1,MP,16.0,470.00,6.3,10.0,-55,105,2000,0.54,0.08,1504,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MCSBSQ,MP,16.0,470.00,6.3,10.0,-55,105,5000,0.54,0.08,1504,2500,,0.015,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MCN1,MP,16.0,470.00,8.0,11.5,-55,105,2000,0.93,0.08,1504,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MCNASQ,MP,16.0,470.00,8.0,11.5,-55,105,5000,0.93,0.08,1504,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MDN1,MP,16.0,470.00,8.0,11.5,-55,105,2000,0.93,0.08,1504,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C471MDNASQ,MP,16.0,470.00,8.0,11.5,-55,105,5000,0.93,0.08,1504,5400,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C561MCN1,MP,16.0,560.00,8.0,11.5,-55,105,2000,0.93,0.08,1792,5000,,0.014,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C561MCNASQ,MP,16.0,560.00,8.0,11.5,-55,105,5000,0.93,0.08,1792,5000,,0.014,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C561MDN1,MP,16.0,560.00,8.0,11.5,-55,105,2000,0.93,0.08,1792,5000,,0.014,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C561MDNASQ,MP,16.0,560.00,8.0,11.5,-55,105,5000,0.93,0.08,1792,5000,,0.014,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C681MCN1,MP,16.0,680.00,8.0,11.5,-55,105,2000,0.93,0.08,2176,5230,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNE1C681MCNASQ,MP,16.0,680.00,8.0,11.5,-55,105,5000,0.93,0.08,2176,5230,,0.01,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
