Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLV1C221MCL1,NRND,16.0,220.00,8.0,9.0,-55,105,3000,0.75,0.12,704,2100,,26,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1C271MDL1,NRND,16.0,270.00,8.0,12.0,-55,105,3000,0.95,0.12,864,2500,,24,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1C471MDL1,NRND,16.0,470.00,10.0,13.0,-55,105,3000,1.50,0.12,1504,2900,,23,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1D151MCL1,NRND,20.0,150.00,8.0,9.0,-55,105,3000,0.75,0.12,600,2000,,27,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1D221MDL1,NRND,20.0,220.00,8.0,12.0,-55,105,3000,0.95,0.12,880,2400,,25,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1D331MDL1,NRND,20.0,330.00,10.0,13.0,-55,105,3000,1.50,0.12,1320,2800,,24,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1E121MCL1,NRND,25.0,120.00,8.0,9.0,-55,105,3000,0.75,0.12,600,2000,,28,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1E151MDL1,NRND,25.0,150.00,8.0,12.0,-55,105,3000,0.95,0.12,750,2400,,26,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1E271MDL1,NRND,25.0,270.00,10.0,13.0,-55,105,3000,1.50,0.12,1350,2800,,25,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1V560MCL1,NRND,35.0,56.00,8.0,9.0,-55,105,3000,0.75,0.12,392,1900,,29,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1V820MDL1,NRND,35.0,82.00,8.0,12.0,-55,105,3000,0.95,0.12,574,2300,,27,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1V151MDL1,NRND,35.0,150.00,10.0,13.0,-55,105,3000,1.50,0.12,1050,2700,,26,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1H330MCL1,NRND,50.0,33.00,8.0,9.0,-55,105,3000,0.75,0.12,330,1900,,32,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1H390MDL1,NRND,50.0,39.00,8.0,12.0,-55,105,3000,0.95,0.12,390,2200,,29,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1H680MDL1,NRND,50.0,68.00,10.0,13.0,-55,105,3000,1.50,0.12,680,2600,,28,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1J220MCL1,NRND,63.0,22.00,8.0,9.0,-55,105,3000,0.75,0.12,277,1800,,35,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1J270MDL1,NRND,63.0,27.00,8.0,12.0,-55,105,3000,0.95,0.12,340,2100,,33,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1J470MDL1,NRND,63.0,47.00,10.0,13.0,-55,105,3000,1.50,0.12,592,2600,,29,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1K100MCL1,NRND,80.0,10.00,8.0,9.0,-55,105,3000,0.75,0.12,160,1700,,40,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1K120MDL1,NRND,80.0,12.00,8.0,12.0,-55,105,3000,0.95,0.12,192,1900,,38,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV1K220MDL1,NRND,80.0,22.00,10.0,13.0,-55,105,3000,1.50,0.12,352,2300,,35,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV2A6R8MCL1,NRND,100.0,6.80,8.0,9.0,-55,105,3000,0.75,0.12,136,1600,,45,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV2A100MDL1,NRND,100.0,10.00,8.0,12.0,-55,105,3000,0.95,0.12,200,1800,,42,,,,,,2000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
PLV2A180MDL1,NRND,100.0,18.00,10.0,13.0,-55,105,3000,1.50,0.12,360,2200,,38,,,,,,1000,Radial Lead,Hi-Volt. Long Life,Uni-Polar,Normal
